date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:17	53102/53102	---M-Z	200	added ('OK')	text/css	etag:W/%22cf6e-VeRKKqWudpDKUT+GEOA8bKG6TUQ%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css	C:/Benim%20Web%20Sitem/Skytex/cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css	(from https://skytex.dev/)
11:39:17	33238/33238	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643f91b8-81d6%22	https://code.iconify.design/2/2.0.4/iconify.min.js	C:/Benim%20Web%20Sitem/Skytex/code.iconify.design/2/2.0.4/iconify.min.js	(from https://skytex.dev/)
11:39:17	4244/4244	---M-Z	200	added ('OK')	application/x-javascript	etag:%221094-62f04516-293d748a08f08858;gz%22	https://skytex.dev/assets/js/repo-card.js	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/js/repo-card.js	(from https://skytex.dev/)
11:39:17	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Benim%20Web%20Sitem/Skytex/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://skytex.dev/)
11:39:18	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Benim%20Web%20Sitem/Skytex/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://skytex.dev/)
11:39:18	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Benim%20Web%20Sitem/Skytex/unpkg.com/aos@2.3.1/dist/aos.css	(from https://skytex.dev/)
11:39:18	4682/4682	---M--	200	added ('OK')	image/png	etag:%22124a-62f04516-939a66edd35ea01a;;;%22	https://skytex.dev/assets/Vector%2010.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/Vector%2010.png	(from https://skytex.dev/)
11:39:18	5204/5204	---M--	200	added ('OK')	image/png	etag:%221454-62f04516-55ec4a020f35a4ec;;;%22	https://skytex.dev/assets/Vector%2011.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/Vector%2011.png	(from https://skytex.dev/)
11:39:19	11770/11770	---M--	200	added ('OK')	image/png	etag:%222dfa-62f04516-5325c3d2826a1a97;;;%22	https://skytex.dev/assets/Vector%2016.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/Vector%2016.png	(from https://skytex.dev/)
11:39:19	8037/8037	---M--	200	added ('OK')	image/png	etag:%221f65-62f04516-dc3c23fc6bf6aef7;;;%22	https://skytex.dev/assets/Vector%2027.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/Vector%2027.png	(from https://skytex.dev/)
11:39:19	73149/73149	---M--	200	added ('OK')	image/png	etag:%2211dbd-62f04516-e729bbe796448977;;;%22	https://skytex.dev/assets/developer.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/developer.png	(from https://skytex.dev/)
11:39:19	8700/8700	---M--	200	added ('OK')	image/png	etag:%2221fc-62f04516-22ded35072743873;;;%22	https://skytex.dev/assets/js.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/js.png	(from https://skytex.dev/)
11:39:20	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Apr%202023%2008:39:37%20GMT	https://twemoji.maxcdn.com/2/72x72/26a1.png	C:/Benim%20Web%20Sitem/Skytex/twemoji.maxcdn.com/2/72x72/26a1.14.delayed	(from https://skytex.dev/)
11:39:20	62/62	---M-Z	404	error ('Not%20Found')	text/plain	etag:W/%223e-UWvbZQK/SNoVnFqjJuqKwQDI8V8%22	https://cdn.jsdelivr.net/npm/twemoji@11.3.0/2/72x72/26a1.png	C:/Benim%20Web%20Sitem/Skytex/cdn.jsdelivr.net/npm/twemoji@11.3.0/2/72x72/26a1.png	(from https://skytex.dev/)
11:41:53	2654/2654	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a5e-62f04516-574e15cc8482f2de;gz%22	https://skytex.dev/assets/js/script.js	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/js/script.js	(from https://skytex.dev/)
11:41:53	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Benim%20Web%20Sitem/Skytex/unpkg.com/aos@2.3.1/dist/aos.js	(from https://skytex.dev/)
11:41:54	134235/134235	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220c5b-62f04516-f511401153051591;gz%22	https://skytex.dev/assets/webfonts/fa-brands-400.eot	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-brands-400.eot	(from https://skytex.dev/assets/css/all.min.css)
11:41:54	134235/134235	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220c5b-62f04516-f511401153051591;gz%22	https://skytex.dev/assets/webfonts/fa-brands-400.eot?	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-brands-400d41d.eot	(from https://skytex.dev/assets/css/all.min.css)
11:41:54	76734/76734	---M--	200	added ('OK')	font/woff2	etag:%2212bbe-62f04516-45b06a7f6b2a687;;;%22	https://skytex.dev/assets/webfonts/fa-brands-400.woff2	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-brands-400.woff2	(from https://skytex.dev/assets/css/all.min.css)
11:41:54	89988/89988	---M--	200	added ('OK')	application/font-woff	etag:%2215f84-62f04516-67bc1b2c4a852ce9;;;%22	https://skytex.dev/assets/webfonts/fa-brands-400.woff	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-brands-400.woff	(from https://skytex.dev/assets/css/all.min.css)
11:41:55	133988/133988	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2220b64-62f04516-f792cdd94b507045;gz%22	https://skytex.dev/assets/webfonts/fa-brands-400.ttf	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-brands-400.ttf	(from https://skytex.dev/assets/css/all.min.css)
11:41:55	34031/34031	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284ef-62f04516-ce24a2814ddb7591;gz%22	https://skytex.dev/assets/webfonts/fa-regular-400.eot	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-regular-400.eot	(from https://skytex.dev/assets/css/all.min.css)
11:41:55	747927/747927	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b6997-62f04516-560d66a9e69a5dce;gz%22	https://skytex.dev/assets/webfonts/fa-brands-400.svg	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-brands-400.svg	(from https://skytex.dev/assets/css/all.min.css)
11:41:55	34031/34031	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284ef-62f04516-ce24a2814ddb7591;gz%22	https://skytex.dev/assets/webfonts/fa-regular-400.eot?	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-regular-400d41d.eot	(from https://skytex.dev/assets/css/all.min.css)
11:41:55	13224/13224	---M--	200	added ('OK')	font/woff2	etag:%2233a8-62f04516-5977eaa6a54d2219;;;%22	https://skytex.dev/assets/webfonts/fa-regular-400.woff2	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-regular-400.woff2	(from https://skytex.dev/assets/css/all.min.css)
11:41:56	16276/16276	---M--	200	added ('OK')	application/font-woff	etag:%223f94-62f04516-8f45d18808460abf;;;%22	https://skytex.dev/assets/webfonts/fa-regular-400.woff	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-regular-400.woff	(from https://skytex.dev/assets/css/all.min.css)
11:41:56	33736/33736	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2283c8-62f04516-1d2ee020d73a31f1;gz%22	https://skytex.dev/assets/webfonts/fa-regular-400.ttf	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-regular-400.ttf	(from https://skytex.dev/assets/css/all.min.css)
11:41:56	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	etag:%222354a-62f04516-70d461c4cac96f77;gz%22	https://skytex.dev/assets/webfonts/fa-regular-400.svg	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-regular-400.svg	(from https://skytex.dev/assets/css/all.min.css)
11:41:57	202959/202959	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22318cf-62f04516-d2bc744c532cc12c;gz%22	https://skytex.dev/assets/webfonts/fa-solid-900.eot	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-solid-900.eot	(from https://skytex.dev/assets/css/all.min.css)
11:41:57	202959/202959	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22318cf-62f04516-d2bc744c532cc12c;gz%22	https://skytex.dev/assets/webfonts/fa-solid-900.eot?	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-solid-900d41d.eot	(from https://skytex.dev/assets/css/all.min.css)
11:41:57	78268/78268	---M--	200	added ('OK')	font/woff2	etag:%22131bc-62f04517-17fcedfe143265bc;;;%22	https://skytex.dev/assets/webfonts/fa-solid-900.woff2	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-solid-900.woff2	(from https://skytex.dev/assets/css/all.min.css)
11:41:57	101648/101648	---M--	200	added ('OK')	application/font-woff	etag:%2218d10-62f04516-6cafd8f5e5a2a5b3;;;%22	https://skytex.dev/assets/webfonts/fa-solid-900.woff	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-solid-900.woff	(from https://skytex.dev/assets/css/all.min.css)
11:41:57	202744/202744	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22317f8-62f04516-7cc4dc393385056a;gz%22	https://skytex.dev/assets/webfonts/fa-solid-900.ttf	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-solid-900.ttf	(from https://skytex.dev/assets/css/all.min.css)
11:46:15	918991/918991	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e05cf-62f04516-6e72f75c2ed6f6c1;gz%22	https://skytex.dev/assets/webfonts/fa-solid-900.svg	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/webfonts/fa-solid-900.svg	(from https://skytex.dev/assets/css/all.min.css)
11:46:16	151122/151122	---M--	200	added ('OK')	image/png	etag:%2224e52-62f04517-8ba280fecec2778b;;;%22	https://skytex.dev/assets/yellow-brushstroke.png	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/assets/yellow-brushstroke.png	(from https://skytex.dev/assets/css/style.css)
11:46:16	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6253f164-308801989c19e124;gz%22	https://skytex.dev/Trident/	C:/Benim%20Web%20Sitem/Skytex/skytex.dev/Trident/index.html	(from https://skytex.dev/assets/js/all.js)
11:46:16	484768/484768	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22765a0-3IIcWKULpwbZ07BuM83J1yZW9qU%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.eot?biu5f3	C:/Benim%20Web%20Sitem/Skytex/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconf801.eot	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
11:46:17	484604/484604	---M-Z	200	added ('OK')	font/ttf	etag:W/%22764fc-FSGaNj3dOHXktm8tfjGEqAobyNg%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.ttf?biu5f3	C:/Benim%20Web%20Sitem/Skytex/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconf801.ttf	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
11:46:17	484680/484680	---M--	200	added ('OK')	font/woff	etag:W/%2276548-SRra4oWsyddlfPKXNK/TeITpWMQ%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.woff?biu5f3	C:/Benim%20Web%20Sitem/Skytex/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconf801.woff	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
11:46:25	9129/9129	---M-Z	-1	error ('Error%20when%20decompressing')	text/plain	date:Sun,%2023%20Apr%202023%2008:46:41%20GMT	https://raw.githubusercontent.com/ozh/github-colors/master/colors.json	C:/Benim%20Web%20Sitem/Skytex/raw.githubusercontent.com/ozh/github-colors/master/colors.31.delayed	(from https://skytex.dev/assets/js/repo-card.js)
11:46:25	1919312/1919312	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%221d4950-rUigJhjVtFmoqrikVX8QwZMOpgg%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.svg?biu5f3	C:/Benim%20Web%20Sitem/Skytex/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconf801.svg	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
11:46:25	20146/20146	---MCZ	-1	error ('Error%20when%20decompressing')	application/json	date:Sun,%2023%20Apr%202023%2008:46:41%20GMT	https://api.github.com/emojis	C:/Benim%20Web%20Sitem/Skytex/api.github.com/emojis.30.delayed	(from https://skytex.dev/assets/js/repo-card.js)
11:46:25	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Apr%202023%2008:46:42%20GMT	https://fonts.googleapis.com/robots.txt		(from https://skytex.dev/assets/css/style.css)
11:46:25	406/406	---MC-	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2008:46:33%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@400;500&display=swap	C:/Benim%20Web%20Sitem/Skytex/fonts.googleapis.com/css2.2a5a57.delayed	(from https://skytex.dev/assets/css/style.css)
11:46:26	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
11:46:31	166/166	---M-Z	200	added ('OK')	text/plain	etag:W/%226444d07a-bf%22	https://api.github.com/robots.txt		(from https://skytex.dev/assets/js/repo-card.js)
11:46:31	20/20	---M--	400	error ('Bad%20Request')	text/plain	date:Sun,%2023%20Apr%202023%2008:46:49%20GMT	https://raw.githubusercontent.com/robots.txt		(from https://skytex.dev/assets/js/repo-card.js)
11:46:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Apr%202023%2008:46:49%20GMT	http://www.w3.org/robots.txt		(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.svg?biu5f3)
11:46:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Apr%202023%2008:46:48%20GMT	http://www.w3.org/2000/svg	C:/Benim%20Web%20Sitem/Skytex/www.w3.org/2000/svg.32.delayed	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.svg?biu5f3)
